	Variable	Group1	Sample1	Group2	Sample2	t-statistic	p-value	Significance
0	valence mean	Phase 1 HP	51	Phase 1 HN	51	11.5	0.0	True
1	valence mean	Phase 1 HP	51	Phase 1 LP	51	-3.32	0.001	False
2	valence mean	Phase 1 HP	51	Phase 1 LN	51	6.32	0.0	True
3	valence mean	Phase 1 HP	51	Phase 3	44	4.23	0.0	True
4	valence mean	Phase 1 HN	51	Phase 1 HP	51	-11.5	0.0	True
5	valence mean	Phase 1 HN	51	Phase 1 LP	51	-21.1	0.0	True
6	valence mean	Phase 1 HN	51	Phase 1 LN	51	-4.97	0.0	True
7	valence mean	Phase 1 HN	51	Phase 3	44	-10.34	0.0	True
8	valence mean	Phase 1 LP	51	Phase 1 HP	51	3.32	0.001	False
9	valence mean	Phase 1 LP	51	Phase 1 HN	51	21.1	0.0	True
10	valence mean	Phase 1 LP	51	Phase 1 LN	51	11.93	0.0	True
11	valence mean	Phase 1 LP	51	Phase 3	44	11.16	0.0	True
12	valence mean	Phase 1 LN	51	Phase 1 HP	51	-6.32	0.0	True
13	valence mean	Phase 1 LN	51	Phase 1 HN	51	4.97	0.0	True
14	valence mean	Phase 1 LN	51	Phase 1 LP	51	-11.93	0.0	True
15	valence mean	Phase 1 LN	51	Phase 3	44	-3.11	0.003	False
16	valence mean	Phase 3	44	Phase 1 HP	51	-4.23	0.0	True
17	valence mean	Phase 3	44	Phase 1 HN	51	10.34	0.0	True
18	valence mean	Phase 3	44	Phase 1 LP	51	-11.16	0.0	True
19	valence mean	Phase 3	44	Phase 1 LN	51	3.11	0.003	False
20	valence std_dev	Phase 1 HP	51	Phase 1 HN	51	1.62	0.109	False
21	valence std_dev	Phase 1 HP	51	Phase 1 LP	51	1.58	0.117	False
22	valence std_dev	Phase 1 HP	51	Phase 1 LN	51	0.35	0.726	False
23	valence std_dev	Phase 1 HP	51	Phase 3	44	-8.95	0.0	True
24	valence std_dev	Phase 1 HN	51	Phase 1 HP	51	-1.62	0.109	False
25	valence std_dev	Phase 1 HN	51	Phase 1 LP	51	0.12	0.903	False
