State	Variable	Statistic	Samples	p-value	Significance
0	beta	0.99	717	0.0	True
0	frontal_alpha	0.97	717	0.0	True
0	frontal_theta	0.96	717	0.0	True
0	gamma	0.97	717	0.0	True
0	posterior_alpha	0.95	717	0.0	True
1	beta	0.8	94	0.0	True
1	frontal_alpha	0.87	94	0.0	True
1	frontal_theta	0.54	94	0.0	True
1	gamma	0.73	94	0.0	True
1	posterior_alpha	0.9	94	0.0	True
2	beta	0.96	365	0.0	True
2	frontal_alpha	0.95	365	0.0	True
2	frontal_theta	0.93	365	0.0	True
2	gamma	0.89	365	0.0	True
2	posterior_alpha	0.92	365	0.0	True
3	beta	0.99	214	0.232	False
3	frontal_alpha	0.97	214	0.0	True
3	frontal_theta	0.71	214	0.0	True
3	gamma	0.98	214	0.003	True
3	posterior_alpha	0.93	214	0.0	True
