Variable	Test	Statistic	p-value	Samples	Significance
beta	Barlett	298.29	0.0	[575, 447, 138, 230]	True
beta	Levene	23.16	0.0	[575, 447, 138, 230]	True
frontal_alpha	Barlett	734.89	0.0	[575, 447, 138, 230]	True
frontal_alpha	Levene	66.92	0.0	[575, 447, 138, 230]	True
frontal_theta	Barlett	1005.27	0.0	[575, 447, 138, 230]	True
frontal_theta	Levene	84.46	0.0	[575, 447, 138, 230]	True
gamma	Barlett	849.27	0.0	[575, 447, 138, 230]	True
gamma	Levene	52.36	0.0	[575, 447, 138, 230]	True
hf-hrv	Barlett	228.14	0.0	[575, 447, 138, 230]	True
hf-hrv	Levene	72.19	0.0	[575, 447, 138, 230]	True
ibi	Barlett	33.95	0.0	[575, 447, 138, 230]	True
ibi	Levene	7.44	0.0	[575, 447, 138, 230]	True
posterior_alpha	Barlett	886.98	0.0	[575, 447, 138, 230]	True
posterior_alpha	Levene	46.11	0.0	[575, 447, 138, 230]	True
